	,
侊	亻光
侌	陰
侎	敉
侒	亻安
侓	律
菷	艹帚
肀	帚
箒	竹帚
硉	石帚
䃟	石散
侔	亻牟
侕	亻而
侙	亻式
儺	亻難
佤	亻瓦
剄	刎
儋	擔
佶	亻吉
傣	亻泰
侚	徇
伢	亻牙
侜	亻舟
侞	亻如
侟	亻存
価	價
侢	亻再
侤	考
侫	佞
侰	亻君
侱	亻呈
侲	亻辰
侳	亻坐
侸	𠍄
侹	庭
侺	亻岑
侻	亻兌
侼	勃
侽	亻男
侾	亻孝
俀	亻妥
俅	亻求
俆	亻余
俇	亻狂
俈	嚳
俉	亻吾
俌	亻甫
俍	亻良
俒	亻完
俔	見
俕	亻宋
俖	亻否
俜	娉
俟	候
俢	修
俤	亻弟
俰	亻和
俲	效
俷	亻肥
俹	亞
俻	備
俼	亻育
俽	亻欣
俿	亻虎
倁	亻知
倂	併
倃	亻咎
倇	亻宛
倈	來
倎	亻典
倐	攸
倓	亻炎
倕	亻垂
倗	亻朋
倛	亻其
倞	亻京
倠	離
倣	彷
値	值
倧	亻宗
倯	亻松
倰	凌
倱	亻昆
倳	亻事
倴	亻奔
倵	亻武
倶	俱
倷	亻奈
倸	亻采
倹	儉
倻	亻耶
倽	捨
偀	亻英
偁	稱
偂	亻前
偅	亻重
偆	亻春
偊	踽
偋	亻屏
偍	亻是
偐	贗
偒	蕩
偓	亻屋
偖	亻者
偗	亻省
偘	亻品
偙	亻帝
偛	歃
偝	亻背
偟	亻皇
偠	亻要
偡	亻甚
偢	亻秋
偣	亻音
偤	亻酋
偪	逼
偫	亻待
偭	亻面
偯	亻哀
偰	亻契
偱	亻盾
偳	短
偸	偷
偹	備
偺	咱
偼	倢
傁	罈
傂	亻虒
傃	亻素
傆	亻原
傇	亻茸
傉	亻辱
傍	旁
傎	亻真
傏	搪
傐	亻高
傒	亻奚
傓	亻扇
傗	亻畜
傛	亻容
傜	徭
繇	徭
傞	亻差
傟	亻翁
傡	並
傢	家
傫	亻累
傮	亻曹
傰	亻崩
傶	亻戚
傸	亻爽
傹	亻竟
傺	亻祭
傽	亻章
傿	亻焉
僁	亻悉
僃	備
僄	亻票
僆	 o靚
僊	仙
僐	亻善
僒	亻窘
僔	亻尊
僘	亻敞
僙	亻黃
僛	亻欺
僜	亻登
僞	偽
僠	亻番
僡	亻惠
僢	亻舜
僣	僭
僦	亻就
僪	亻矞
僬	亻焦
僯	亻粦
僰	棘
僷	亻葉
僸	亻禁
僼	體
僽	亻愁
僿	亻塞
儁	俊
儃	亻亶
儆	警
儇	環
儊	亻楚
儌	徼
儍	傻
儎	載
儓	檯
儗	擬
儘	盡
儙	亻遣
儛	亻舞
儤	亻暴
儦	鏢
儫	亻豪
儭	襯
儳	饞
儴	亻襄
儵	攸黑
儻	倘
儽	亻纍
儾	亻囊
兎	兔
児	兒
兘	台
兛	千
兝	分
兞	毛
兟	先
兠	兜
兣	厘
兦	亡
兪	俞
兲	天
兾	異
兿	藝
冂	門
冄	冉
冇	無
冋	高
冎	喎
冏	囧
冐	冒
冓	溝
冚	全
冝	宜
冞	米
冟	皂
冣	最
冦	寇
冨	富
冩	寫
冪	幕
冭	太
冮	冫工
冱	冫互
冴	互
冸	泮
冹	拔
冺	冫民
冾	洽
冿	津
凁	冫束
凂	潣
凃	塗
凅	涸
凇	冫松
凈	淨
凊	冫青
凎	冫金
凓	冫栗
凕	冫冥
凖	準
凗	冫崔
凘	冫斯
凚	冫禁
凞	冫熙
凢	凡
凣	凡
凥	居
処	處
凧	几
凨	風
凬	風
凮	百
凲	兼
凴	憑
凷	塊
凼	氹
凾	函
刄	刃
刅	創
刉	乞刂
刌	寸刂
刐	丹刂
刓	元刂
刔	決
刜	弗刂
刞	且刂
剜	挖刂
刟	召刂
刡	民刂
刢	另
刣	台刂
刦	劫
刧	劫
刱	創
刲	圭刂
刴	剁
刵	耳刂
刼	劫
剅	豆刂
剆	郎
剈	絹
剉	銼
剏	創
剒	昔刂
剕	非刂
剗	剷
剘	其刂
剙	創
剚	事刂
剠	京刂
剢	涿
剣	劍
剤	劑
剦	閹
剫	度刂
剬	專
剭	屋刂
剰	剩
剱	劍
剳	札
剴	豈
剶	喙
剹	翏刂
剻	崩刂
劀	刮
劁	焦刂
劄	札
劅	蜀刂
劆	鐮
劎	劍
劐	劃
劒	劍
劓	鼻刂
劔	劍
劖	饞
劘	靡刂
劙	蠡刂
劜	尤
劤	斤
劥	亢
劦	協
劧	手
劮	失
劯	石
劰	白
労	勞
劵	券
劶	力
劷	羊
劸	圭
効	效
劺	勉
劽	力
勀	克
勂	告
勄	敏
勅	敕
勆	良
勈	勇
勊	剋
勌	卷
勏	力
勑	敕
勓	勉
勔	勉
勖	勉
朂	勉
勗	勉
勛	勳
勜	翁
勠	翏
勡	票
勦	剿
勧	勸
勨	象
勫	番
勬	縢
勭	童
勮	據
勯	亶
勰	協
勲	動灬
勶	徹
勷	襄
勹	包
勼	九
勽	抱
匃	丐
匄	丐
匈	胸
匊	掬
匋	陶
匌	合
匎	奄
匏	包
匑	躬
匒	塔
匘	腦
匛	久
匜	也
匞	匹
匟	亢
匢	勿
匤	玉
匥	弁
匧	篋
匩	匡山
匬	俞
匱	櫃
匲	區
匳	區
匴	算
匵	匣
櫝	匣
匷	瞿
匼	合
卂	迅
卄	廿
卆	卒
卋	世
単	單
卙	甚
卛	率
卩	部
卪	部
卬	仰
卭	工
卶	多
卹	恤
卼	危
卽	即
厀	膝
厊	牙
厎	砥
厏	乍
厒	罄
厓	涯
厔	至
厖	龐
厗	辛
厛	廳
厜	垂
厞	非
厠	廁
厤	曆
厧	真
厪	堇
厫	敖
厯	歷
厰	廠
厳	嚴
厵	源
厶	私
厷	肱
厸	鄰
厹	雲
厺	去
厾	戳
叄	三
叅	參
収	收
叏	支
叐	友
叒	又
叓	支口
叚	假
叜	罈
叝	及
叡	睿
叧	另
叴	九
叺	 o入
叿	 o工
嗪	 o秦
吀	羋
吂	亡
吅	喧
吇	 o子
吋	寸
吓	下
吖	丫
吘	 o午
吙	 o火
吚	伊
吜	 o丑
吢	心口
吤	 o介
吥	 o不
吪	 o化
吺	股
吿	告
呁	 o勻
呄	古
呅	 o文
呉	吳
呌	 o斗
呏	升
呑	吞
呞	 o司
呟	 o玄
呡	 o吻
呣	 o母
呥	 o冉
呧	 o氐
呩	 o示
呪	咒
呫	 o占
呬	 o四
呭	 o世
呮	 o只
呰	此口
呹	 o失
呾	 o旦
咀	嘴
咅	呸
咈	 o弗
咉	 o央
咊	和
咍	 o台
咑	打
咓	 o瓦
咗	左
咘	 o布
咟	 o百
咠	 聶
咡	 o耳
咥	嘻
咮	 o朱
咰	 o旬
咲	笑
咴	灰
咷	啕
咹	 o安
巵	梔
卮	梔
栀	梔
櫟	木樂
撖	木敢
咼	喎
勐	猛
剮	削
咿	 o伊
哂	曬
哃	 o同
哅	胸
哊	 o有
哋	地
咃	 o地
哏	 o艮
哐	 o匡
哚	 o朵
哞	 o牟
哠	 o告
哫	 o足
哬	 o何
哰	 o牢
哱	 o勃
哳	 o折
哴	 o亮
哵	 o別
哶	 o咩
哸	 o妥
哹	 o孚
哻	 o旱
哾	啜
哿	加可
唀	 o秀
唃	 o角
唅	 o含
唈	 o邑
唊	 o夾
唋	 o余
唌	涎
唍	 o完
唒	曬
唓	車
唕	 o早
唖	啞
唗	 o走
唙	 o狄
唞	抖
唠	勞
唣	 o皂
唥	 o冷
唦	 o沙
唨	 o阻
唩	 o委
唫	吟
唬	諕
唭	 o其
唰	 o刷
唲	 o兒
唳	淚
唴	羌
唶	 o昔
唸	念
唹	唷
唺	 o典
唼	 o妾
唽	 o析
啂	 o乳
啈	 o幸
啌	 o空
啍	 o敦
啎	忤
啑	倢
啒	 o屈
啓	啟
啔	啟
啗	啖
啘	宛
啛	吐
啐	吐
啝	啼
啢	兩
啣	銜
㠀	島
嶋	島
啨	青
啩	掛
罣	掛
够	夠
䳘	鵝
鵞	鵝
啫	姐
啳	 o卷
啽	 o弇
啿	 o甚
喅	昱
喆	哲
喈	 o皆
喍	 o柴
喏	 o若
喐	 o郁
喒	咱
喓	 o要
喕	 o面
喖	 o枯
喛	 o暖
囔	噥
唧	吱
喞	吱
瀄	吱
喠	 o重
喢	 o歃
喣	詬
喤	 o皇
喥	 o度
喨	 o亮
喩	喻
喫	吃
喭	唁
喯	 o奔
喰	餐
喲	唷
喴	 o威
営	營
喺	 o係
喼	篋
嗁	啼
嗃	 o高
嗈	川邑
𡄸	川邑
邕	川邑
嗊	 o貢
嗋	 o脅
嗍	索
嗏	搽
嗐	 o害
嗕	 o辱
嗗	 o骨
嗘	 o奚
嗙	 o旁
嗠	孚各
嗢	婦
嗥	嚎
嗬	呵
嗮	曬
嗰	 o個
嗱	 o拿
嗵	 o通
嗸	敖口
嗺	催
嗻	處
嗼	 o莫
嗾	 o族
嘂	叫
嘃	 o庸
嘆	歎
嘊	涯
嘋	 o教
嘏	福
嘐	 o翏
嘑	呼
嘒	 o彗
嘓	 o國
嘕	 o焉
嘙	 o婆
嘚	 o得
嘝	 o斛
嘞	喇
嘡	 o堂
嘢	野
嘦	要
嘨	嘯
嘫	 o然
嘬	 o最
嘵	 o堯
嘷	嚎
嘽	 o單
嘾	 o覃
噀	 o巽
噂	譐
噄	潔
噅	 o為
噇	 o童
噈	 o就
噉	咁
噊	譎
噋	 o敦
噍	嚼
噐	器
噑	嚎
噒	吮
噕	為
噖	琴
噝	絲
噡	詹
啹	居
噣	蜀
噮	環
噳	虞
噵	道
噶	架
噷	歆
噺	 o新
噼	劈
噽	喜
噿	翠
嚁	翟
嚄	獲
嚊	鼻
嚌	齊
嚔	嚏
嚖	慧
嚗	暴
嚘	憂
嚚	囂
嚜	 o墨
嚟	黎
嚠	瀏
嚡	 o鞋
嚢	囊
嚤	摩
嚥	咽
嚫	親
嚬	顰
嚭	喜
嚯	霍
嚰	磨
嚲	單
嚵	饞
嚹	喇
嚻	囂
嚾	獾
嚿	舊
囄	離
囅	展
囇	曬
囌	蘇
囓	咬
嚙	咬
囖	囉
囗	口
囘	回
囜	雲
団	團
囥	亢
囦	淵
囨	不
囩	云
囪	窗
囬	回
囮	讍
囯	國
囱	窗
囲	圍
図	圖
囷	禾
囸	正
囻	民
囼	台
圀	國
圁	言
圂	口
圃	甫
圅	函
圉	幸
圊	青
圌	囤
篅	囤
圎	圓
圏	圈
圑	團
圔	蓋
圗	圖
圝	圞
圠	尤
圡	土
圢	平
圤	土卜
垛	土朵
圩	土於
圥	堯
圧	壓
圪	土乞
垵	土安
圬	塗
杇	塗
圮	土己
圱	千土
圲	土千
圵	土上
圶	大土
圻	土垠
圼	土
圽	土勿
圿	土介
坁	土氏
坃	土元
坄	股
坅	土今
坆	土墳
坈	土坑
坉	土屯
坋	土分
坌	分土
坒	比土
坓	型土
坔	地土
坕	爪土
坖	元土
坘	土互
坙	經
坢	土半
坥	土且
坧	土石
坩	土甘
坫	土店
坬	土瓜
坭	土泥
坮	土台
坯	土壞
坰	土高
坱	土央
坲	土弗
坵	土丘
坶	土母
坸	土句
坹	土穴
坺	土拔
坽	土令
坿	土付
垀	土乎
垁	土矢
垇	土凹
垉	土包
垍	土自
垎	土各
垏	土聿
垐	次土
垑	土多
垓	陔
垕	後土
垗	土兆
垘	土伏
垙	土光
垚	堯
垜	土朵
垝	土危
垞	土宅
垟	土羊
垡	伐土
垤	土至
垥	土合
垧	土向
垨	土守
垩	聖
垬	土共
垶	土辛
垸	土完
垹	土邦
垺	土孚
垻	壩
垼	役土
垽	沂土
垾	土旱
垿	土序
埀	乘土
埁	岑
埅	防土
埆	土角
埈	俊
埊	地
埍	絹
埏	土延
埑	折土
埒	埓
埛	商
埜	野
埝	念
埞	訂
埡	土亞
埢	土卷
埣	土卒
埤	土卑
埥	土青
埦	土宛
埧	土具
埪	土空
埫	土尚
埮	土炎
埰	土采
埱	土叔
埲	土奉
埳	坎
埴	土直
埵	土垂
埶	藝
埸	場
埻	𡓑
埼	崎
埽	掃
埾	取土
埿	泥土
堁	土果
堃	坤
堄	土兒
堈	缸
堉	土育
堌	土固
堎	凌
堑	塹
堓	土岸
堗	土突
塬	土原
墉	城
牗	城
堘	塍
堙	堵
垔	堵
陻	堵
姒	女以
妣	女比
𡚧	女匕
堛	富
堜	柬
堝	蝸
堟	喙
𡎇	土侯
堢	土保
堣	土禺
堥	婺
堦	階
堨	土曷
堩	土恆
堬	土俞
堭	隍
堲	即土
堳	土眉
堷	土音
堹	土重
堺	土界
堻	津
堼	封土
堽	土罡
堾	土春
堿	土鹼
塂	土巷
塃	土荒
塅	土段
塇	土宣
塈	既土
塉	土脊
塎	土容
塐	塑
塒	土時
塓	土冥
塕	土翁
塖	土乘
塙	土高
塚	冢
塛	土栗
塜	逢
塝	土旁
塟	葬土
塠	土追
塡	填
塤	壎
塥	土隔
塧	土益
塨	土恭
塩	鹽
塪	土舀
塭	搵
塮	土射
塯	土留
塲	場
塳	土逢
塴	堋
塶	鹿
塸	土區
塺	麻土
塻	土莫
塼	磚
塾	孰土
塿	樓
墁	土曼
墂	土票
墄	土戚
墈	磡
墌	土庶
墍	既土
墎	土郭
墐	菫
墒	土商
墔	土崔
墕	土焉
墖	塔
増	增
墘	土乾
墚	土梁
墝	土堯
墡	土善
墤	土貴
墥	土童
墦	土番
墪	敦土
墫	土樽
墬	地
墭	土盛
墯	墮
墰	罈
墱	土登
墴	土黃
墺	土奧
墻	牆
墼	鑿
墽	皎
壀	土辟
壂	殿土
壃	僵
壄	懋
壅	擁
壉	據
壊	壞
壋	土當
壌	壤
壍	塹
壐	璽
壒	土蓋
壖	土需
壙	土廣
壛	土閻
壡	睿
壦	獾
壧	岩
売	賣
壷	壺
壹	一
壻	婿
壾	巨
壿	土尊
夀	壽
夅	降
夆	丰
変	變
夊	止
夋	俊
夎	坐
夐	瓊
敻	瓊
矎	目瓊
夒	獿
夓	夏
夗	夕
夘	卯
夛	多
夝	生
夡	多
夣	夢
夦	甚
夨	女
夲	本
夳	大
夵	大
夶	並
夼	川
夽	云
夿	巴
奂	煥
奃	氐
奅	卯
奆	巨
奌	點
奒	亥
奓	多
奘	壯
奛	明
奜	非
奝	周
奞	奎
奟	朋
奣	明
奤	面
奦	務
奨	獎
奩	區
奬	獎
奯	歲
奵	丁
奷	千
奺	久
奻	女女
奾	姍
奿	丸女
嬉	女喜
妀	妃
妋	女夫
妌	女井
妎	女介
妏	女文
妐	女公
妑	女巴
妔	女亢
妕	女中
妘	女云
妚	女不
妟	晏
妠	女內
妦	女丰
妧	女元
妬	妒
妭	拔
妰	女乍
妱	女召
妶	女玄
妼	女必
妽	女申
妿	加女
姀	女禾
姁	女句
姂	女乏
姄	女民
姅	女半
姇	付女
姉	姊
姌	女冉
姎	女央
姏	女甘
姕	此女
姖	女巨
姙	女任
姛	女同
姞	女吉
姟	女亥
姠	女向
姡	女舌
姢	娟
姤	女後
姩	女年
姫	姬
姯	女光
姰	女旬
姲	女安
姳	女名
姴	列女
姶	女合
姷	女有
姸	妍
媞	妍
姺	女先
姼	女多
姽	女危
姾	女全
娀	女戎
娂	女共
娋	女肖
娍	女成
娎	折女
娒	女每
娔	女克
娕	女束
娖	女女
娗	庭
娙	女經
娝	女否
娞	女妥
娡	女志
娢	女含
娦	女兵
娧	女兌
娨	女旱
娪	女吾
娫	女延
娬	女武
娭	女矣
娮	女言
娯	娛
娰	女似
娴	嫺
娵	女取
娷	女垂
娹	女弦
娿	女柯
婂	女帛
婃	女宗
婄	蓓
婇	女采
婈	女凌
婋	女虎
婌	女叔
婍	女奇
婎	維
婏	女兔
婐	女果
婑	女委
婒	女炎
婓	飛
婗	女兒
婘	女卷
婛	女京
婝	女定
婟	女固
婠	女官
婣	姻
婤	女周
婩	女岸
婫	女昆
婬	淫
婰	女典
婱	弦女
婹	女要
婻	女南
婼	女若
婽	女假
婾	女俞
媀	女禺
媂	女帝
媖	女英
媃	女柔
媄	女美
媅	女甚
媆	嫩
媇	親
媉	女屋
媊	女前
媋	女春
媌	女苗
媍	女婦
媎	女者
媏	女端
媑	女重
媓	女皇
媔	女面
媕	女弇
媗	女宣
媙	女威
媝	秋女
媡	女柬
媢	女冒
媣	女染
媤	女思
媥	女扁
媦	女胃
媨	女酋
媩	女胡
媮	女俞
媯	女為
媴	女袁
媶	女茸
媷	女辱
媸	女蚩
媹	女留
媻	般女
媿	女愧
嫀	女秦
嫄	女原
嫅	女差
嫆	女容
嫇	女冥
嫊	女素
嫋	裊
嫍	女舀
嫎	女旁
嫏	姥
嫐	嬲
嫑	不要
嫕	嫛
嫘	女累
嫙	女旋
嫜	女章
嫝	女康
嫞	女庸
嫟	女匿
嫤	女菫
嫪	女翏
嫫	女莫
嫬	女庶
嫭	女罅
嫮	女雩
嫯	敖女
嫰	嫩
嫳	敝女
嫴	女辜
嫵	女無
嫶	女焦
嫷	女隋
嫸	女善
嫹	女黃
嫻	嫺
嫼	女墨
嫽	女僚
嫾	女粦
嫿	女畫
嬀	女為
嬁	女登
嬃	須女
嬆	女翕
嬏	女番
嬑	女意
嬓	女皎
嬘	女遂
嬚	女廉
嬝	裊
嬞	女董
嬢	娘
嬤	嫲
嬥	女翟
嬨	女慈
嬬	女需
嬭	奶
嬺	女慝
孀	霜
孁	靈
孂	簋
孃	娘
孉	女歡
孊	女靡
孒	孓
孞	子心
孠	司子
孡	胎
孬	不好
孭	背
孳	孶
孹	辟子
孼	孽子
孾	子嬰
宂	冗
宆	弓
宊	犬
宍	肉
宎	夭
宐	宜
宑	井
宒	毛
宔	主
宖	弘
実	實
宨	兆
宩	審
宬	成
宭	君
宯	孝
宱	作
宲	呆
宷	釆
宻	密
宼	寇
寀	采
寁	倢
寃	冤
寈	青
寉	鶴
寍	寧
寏	煥
寑	侵
寔	實
寕	寧
寗	寧
寘	置
寛	寬
寜	寧
寠	婁
寭	惠
寯	雋
寲	疑
寳	寶
寷	豐
寽	受
対	對
尀	叵
専	專
尃	敷
尅	剋
尐	啲
尒	爾
尓	爾
尕	乃
尗	叔
尙	尚
尜	嘎
尟	是
尠	鮮
尣	兀
尥	尦
尨	龍
尩	王
尪	王
尫	王
尭	堯
尮	朵
尯	危
尰	腫
尲	尷
尳	骨
屇	田
屒	辰
屔	尼
屖	辛
屘	尾
屛	屏
屝	非
屣	徙
屩	蹺
屪	僚
屭	悶
屳	全
屴	力
屸	工
屼	兀
屽	干
屾	山山
岀	出
岄	山月
崆	山空
岅	山反
岆	山夭
岇	仰
岈	山牙
岉	山勿
岊	巴
岋	山及
岎	山分
岏	山元
岐	山歧
岒	山今
岓	山斤
岜	山巴
岝	山乍
岞	山乍
岟	山央
岠	山巨
岡	崗
岢	可
岣	山句
岤	穴
岥	山皮
岧	召
岨	山且
岪	弗
岮	山它
岯	山丕
岲	山兄
岴	山丘
岵	山古
岶	山白
岹	山召
岺	岑
岻	山氐
峀	岫
峁	山卯
峂	山冬
峆	山合
峈	山各
峉	山各
峌	山至
峍	涯
峎	山艮
峏	山而
峐	山亥
峑	山全
峒	洞
峓	山夷
峔	山老
峖	山安
峗	山危
峛	山列
峜	山企
峝	山同
峞	危
峟	山有
峢	山列
峧	山交
峩	峨
峫	山邪
峬	山甫
峮	山君
峯	峰
峱	山丑
峲	山利
峳	山攸
峵	山宏
峷	山辛
峸	山成
峹	山余
峺	山硬
峼	山告
峾	沂山
峿	山吾
崀	山良
崅	山角
崈	崇
崉	山沓
崋	山華
崌	山居
崍	山來
崏	山昏
崐	崑
崒	山卒
崓	山固
崕	涯
崘	崙
崜	山垂
崝	山青
崞	山享
崟	嶔
崡	山函
崣	山委
崥	山卑
崪	山卒
崫	山屈
崬	山東
崮	山固
崯	山金
崲	山皇
崳	山俞
崶	山封
崷	山酋
崹	山帝
崺	山施
崻	山待
崼	山是
崾	山要
嵀	山柱
嵁	山甚
嵂	山律
嵄	山美
嵅	山咸
嵆	嵇
嵈	山爰
嵉	山亭
嵍	山務
嵎	山禺
嵑	山曷
嵒	岩
嵓	山品
嵔	山畏
嵖	山查
嵗	歲
嵛	山俞
嵟	崔
嵠	谿
嵡	山翁
嵢	山倉
嵣	山唐
嵥	山桀
嵧	山留
嵭	山旁
嵮	山真
嵯	山差
嵰	山兼
嵱	山容
嵲	山臬
嵳	山差
嵴	山脊
嵹	山強
嵺	山翏
嶀	山雩
嶁	山婁
嶃	山磛
嵊	山乘
嵋	山眉
巉	嶄
嶅	敖山
嶆	山曹
嶉	山唯
嶊	山推
嶌	山島
嶍	山習
嶎	山蔚
嶐	山窿
嶑	山象
嶒	山曾
嶕	山礁
嶖	山翕
嶚	山僚
嶛	山僚
嶝	磴
嶞	隋
嶟	山尊
嶡	山厥
嶣	山礁
嶥	山厥
嶦	山詹
嶧	山睾
嶰	山解
嶱	山葛
嶳	地
嶵	山罪
嶻	山截
巈	山鞠
巌	岩
巏	山權
巓	巔
巖	岩
巗	岩
巙	夔
巟	荒
巠	徑
巣	巢
巤	剌
巭	夫
巰	勁
巶	巳
巺	巽
巻	卷
帄	丁
帇	巾
帉	分
帊	巴
帋	紙
帍	戶巾
帒	袋
帓	末
帗	拔
帙	失
帞	百
帠	臼
帡	屏
帲	屏
簈	屏
箳	屏
帢	合
帤	如
帨	兌
帩	肖
帪	辰
帬	裙
帯	帶
帰	歸
帵	宛
帹	妾
帺	其
帾	者
帿	侯
幆	曷
幇	幫
幈	屏
幋	般
幍	舀
幎	冥
幏	家
幐	縢
幒	傯
幖	巾票
幘	巾責
幙	幕
幚	幫
幜	巾景
幦	巾辟
幨	巾詹
幬	巾壽
幭	巾蔑
幮	巾廚
幱	巾闌
庀	匕
庁	廳
庂	人
庅	麼
麽	麼
庈	今
庉	屯
庋	支
庌	牙
庍	斤
庎	介
庘	甲
庛	此
庝	冬
庡	衣
庢	至
庣	兆
庤	寺
庨	孝
庩	余
庪	技
庬	龐
庯	甫
庱	凌
庳	卑
庴	昔
庹	度
庻	庶
庽	寓
庿	廟
廀	搜
廃	廢
廄	廐
廅	蓋
廆	鬼
廇	留
廋	搜
廍	部
廎	頃
廏	廐
廑	菫
廒	敖
廕	蔭
廘	鹿
廜	屠
廡	無
廦	辟
廧	牆
廨	解
廩	稟
廰	廳
廱	簌
廵	巡
廷	庭
廸	迪
廹	迫
廻	迴
廼	迺
廽	迴
弅	分
弆	去
弈	奕
弉	壯
弌	一
弍	二
弎	三
弔	吊
弖	弓
弙	弓於
亐	於
弚	吊
弜	強
弝	弓巴
弞	缺
弡	弓巨
弢	韜
弣	弓付
弤	弓氐
弨	弓召
弫	弓臣
弰	弓肖
弲	絹
弳	勁
弴	𢐻
弶	鉗
弸	弓朋
弾	彈
彀	弓
彂	發
彉	弓黃
彋	弓環
彏	弓矍
彛	粉
彜	粉
彝	粉
彞	粉
彠	獲
彫	雕
彮	容
彯	票
彴	拖
彵	也
彶	及
彸	公
彺	王
彾	令
徂	且
徃	往
徆	西
徍	圭
徎	呈
徏	陟
従	從
徖	宗
徛	奇
徝	直
徟	周
徠	來
徢	倢
徣	昔
徤	健
徦	假
徧	遍
徨	遑
徬	旁
徯	奚
徱	票
徲	犀
徳	德
徴	徵
徶	敝
徸	童
徺	僥
忀	襄
忂	瞿
忇	忄力
忈	仁
忉	忄刀
忊	忄丁
忋	忄己
忎	仁
忓	忄干
忔	忄乞
忕	忄大
忚	忄也
忛	帆
応	應
忞	勉
敃	勉
暋	勉
忢	五
忣	忄及
忦	忄介
忨	忄元
忩	怱
忬	舒
忭	喜
忯	忄氐
忰	悴
忲	忄太
忳	忄屯
忴	忄今
忶	忄云
忷	兇
忹	忄王
忺	缺
忻	欣
忼	慷
怇	忄巨
怈	忄世
怉	忄包
怊	忄召
怋	忄民
怌	懷
怐	忄句
怑	忄半
怓	忄奴
怗	忄占
怘	古
怚	忄且
怞	忄由
怟	忄氐
怢	忄失
怣	失
怤	付
怬	忄四
怭	忄必
怮	忄幼
怰	忄玄
怲	忄丙
怳	恍
怶	忄皮
怷	朮
怸	悉
怹	忄他
恀	忄多
恂	悛
恄	忄吉
恅	忄老
恇	忄匡
恈	忄牟
恉	忄旨
恊	協
恌	忄兆
恎	忄至
恏	好
恑	忄危
恓	忄西
恔	忄交
恖	思
恘	忄休
恛	忄回
恜	忄式
恞	忄夷
恟	胸
恠	怪
恡	吝
恦	忄向
恧	而
恮	忄全
恵	惠
悀	湧
悁	環
悆	余
悇	忄余
悈	忄戒
悊	哲
悋	忄吝
悎	忄告
悐	惕
悑	忄甫
悗	忄免
悙	忄亨
悜	忄呈
悝	忄里
悞	誤
悡	利
悢	忄良
悤	聰
悥	意
悧	忄利
悰	忄宗
悳	德
悷	忄戾
悹	官
悺	忄官
悽	淒
悾	忄空
惁	析
惂	焰
惃	忄昆
惄	叔
惈	忄果
惉	沾
惌	怨
惍	忄金
惎	其
惏	忄林
惐	忄或
惒	和
惓	忄卷
惔	忄炎
惖	易
惗	忄念
惛	惽
惞	忄欣
惣	總
惤	忄弦
惥	臾
惪	德
惷	蠢
惼	忄扁
惿	忄是
愂	悖
愃	喧
愄	忄畏
愅	忄革
愊	富
愋	援
愍	憫
愑	湧
愒	憩
愖	忄甚
愗	婺
愘	忄客
愙	客
愝	偃
愡	忄怱
愢	忄思
愨	慤
愬	訴
愭	忄耆
愯	忄隻
愰	忄晃
愱	忄疾
愲	忄骨
悱	忄非
愵	忄弱
愶	忄脅
愹	忄容
愺	忄草
愻	遜
愼	慎
愽	博
慀	忄奚
慂	恿
慃	忄翁
慅	忄蚤
慆	忄舀
慉	忄畜
慏	忄冥
慒	忄曹
慔	忄莫
慗	敕
慙	慚
慛	催
慜	敏
慞	忄章
慠	忄敖
慡	忄爽
慦	救
慪	嘔
慼	戚
慽	戚
憀	忄翏
憁	傯
憃	舂
憅	慟
憆	忄堂
憇	憩
憈	虛
憉	忄彭
憏	忄祭
憒	貴
憕	忄登
憘	忄喜
憙	喜
憛	忄覃
憜	忄隋
憝	忄敦
怼	忄敦
憟	忄粟
憠	厥
憡	忄策
憣	忄番
憭	僚
憯	僭
憰	譎
憱	忄就
憵	辟
憷	忄楚
憸	撿
憺	忄詹
憻	忄亶
憼	警
憽	忄葱
懁	環
懃	勤
懄	忄勤
懅	據
懍	稟
懏	忄雋
懐	懷
懗	嚇
懜	懵
懝	忄疑
懞	懵
懣	悶
懤	愁
懥	懫
懩	忄養
懪	忄暴
懮	忄憂
懯	敷
懱	忄蔑
懴	懺
懹	忄襄
懻	忄冀
懽	歡
戁	恐
戂	忄靡
戄	忄矍
戆	戅
戓	或
戙	棟
戜	呈
戝	賊
戞	戛
戠	音
戣	癸
戤	盈
戥	鄧
戦	戰
戧	創
戨	哥
戫	有
戭	寅
戱	戲
戵	瞿
户	戶
戸	戶
戹	厄
戺	巳
戻	淚
戼	卯
戽	富
戾	淚
扂	占
扃	高
扄	向
扅	炎
扊	炎
扏	扌九
扐	朸
扗	捋
扙	扌丈
扚	的
扛	摃
扜	扝
扞	捍
擀	捍
扡	扌也
扢	扌乞
扤	壓
扨	刃
扱	扌及
扴	扌介
扵	於
扸	析
扺	抵
扻	坎
扽	凳
抁	扌允
抂	捋
抇	捋
抈	捋
抉	決
抋	捋
抌	舀
抍	拯
抎	扌云
抏	扌元
抐	扌內
抔	扌不
抙	扌手
抜	拔
抝	拗
択	擇
抧	扌只
擯	扌賓
抩	扌冉
抪	扌布
抯	揸
抰	扌央
抲	扌可
抳	扌尼
抴	扌世
抶	扌失
抷	扌丕
抸	扌乏
抻	伸
抾	扌去
拀	扌兄
拁	扌加
拃	搾
拈	掂
拊	撫
拏	拿
拕	拖
拝	拜
拞	扌丘
拠	據
拡	擴
拪	扌西
拫	扌艮
拰	扌任
拲	共手
揎	扌宣
撂	擱
㨼	擱
攫	奪
